"species","year","cell","juv_mean","juv_sd"
"Seiurus_aurocapilla",1995,649,193.574166666667,4.26456684716684
"Seiurus_aurocapilla",1995,676,189.914,1.67652590889231
"Seiurus_aurocapilla",1996,595,200.207833333333,6.655124873865
"Seiurus_aurocapilla",1996,621,201.311833333333,8.90916132406068
"Seiurus_aurocapilla",1996,622,195.4805,2.94489362848313
"Seiurus_aurocapilla",1996,646,196.190166666667,3.27446540056523
"Seiurus_aurocapilla",1996,676,187.276666666667,1.79731112408741
"Seiurus_aurocapilla",1997,594,197.216166666667,5.4536283624704
"Seiurus_aurocapilla",1997,622,197.038333333333,1.96541116030728
"Seiurus_aurocapilla",1997,646,196.269,4.03402419739944
"Seiurus_aurocapilla",1997,649,203.2805,6.92014940792259
"Seiurus_aurocapilla",1997,676,189.9825,2.31497017932309
"Seiurus_aurocapilla",1998,622,194.844833333333,2.72500659003023
"Seiurus_aurocapilla",1998,649,189.081,6.33320276344235
"Seiurus_aurocapilla",1998,674,184.515,8.40677627361121
"Seiurus_aurocapilla",1998,676,185.293166666667,1.60996437945256
"Seiurus_aurocapilla",1999,564,195.797166666667,8.2246762563728
"Seiurus_aurocapilla",1999,595,202.709,4.94139540663979
"Seiurus_aurocapilla",1999,622,194.097666666667,2.96444360319689
"Seiurus_aurocapilla",1999,646,188.5325,3.69335672489352
"Seiurus_aurocapilla",1999,649,192.7725,5.46617388363692
"Seiurus_aurocapilla",1999,674,193.623666666667,8.38745679337897
"Seiurus_aurocapilla",1999,676,188.8285,3.84784208764539
"Seiurus_aurocapilla",2000,621,198.898666666667,6.02830448507011
"Seiurus_aurocapilla",2000,622,187.090166666667,2.19343835887736
"Seiurus_aurocapilla",2000,646,190.698833333333,2.76509305367616
"Seiurus_aurocapilla",2000,649,191.489,6.96225235296053
"Seiurus_aurocapilla",2000,676,189.666,2.5426078756141
"Seiurus_aurocapilla",2001,621,196.699,8.21072276526584
"Seiurus_aurocapilla",2001,646,183.384333333333,2.82724013306568
"Seiurus_aurocapilla",2001,649,192.7545,4.29347979438483
"Seiurus_aurocapilla",2001,676,189.776333333333,2.37604310125582
"Seiurus_aurocapilla",2002,621,204.399666666667,5.9691041977036
"Seiurus_aurocapilla",2002,622,193.662,5.1510689750055
"Seiurus_aurocapilla",2002,646,181.147,2.23544712991498
"Seiurus_aurocapilla",2002,649,201.584,4.46489266885824
"Seiurus_aurocapilla",2002,675,188.968,8.10003566430176
"Seiurus_aurocapilla",2002,676,185.4445,2.36463915564075
"Seiurus_aurocapilla",2003,621,197.925666666667,8.12759604834929
"Seiurus_aurocapilla",2003,622,193.939166666667,3.41688139760559
"Seiurus_aurocapilla",2003,649,198.040166666667,4.30131416230079
"Seiurus_aurocapilla",2003,676,190.608333333333,5.59834685153876
"Seiurus_aurocapilla",2003,736,201.194,6.44864028253881
"Seiurus_aurocapilla",2004,591,195.1705,9.15285340959799
"Seiurus_aurocapilla",2004,621,202.771,7.94105801517657
"Seiurus_aurocapilla",2004,622,202.4675,2.89384510180582
"Seiurus_aurocapilla",2004,646,183.5375,2.70224797295719
"Seiurus_aurocapilla",2004,649,190.520666666667,9.02135265298413
"Seiurus_aurocapilla",2004,675,189.993,8.86933266055799
"Seiurus_aurocapilla",2004,676,196.724333333333,3.84011271099705
"Seiurus_aurocapilla",2005,622,193.682166666667,3.18190237478713
"Seiurus_aurocapilla",2005,646,182.572166666667,6.35078845954568
"Seiurus_aurocapilla",2005,649,191.3585,9.06410525556792
"Seiurus_aurocapilla",2005,675,191.063666666667,5.63124305743864
"Seiurus_aurocapilla",2005,676,187.324833333333,4.18591729765723
"Seiurus_aurocapilla",2006,564,200.2385,2.57417730834581
"Seiurus_aurocapilla",2006,568,199.050166666667,5.31212635579754
"Seiurus_aurocapilla",2006,622,189.960333333333,2.74609117201336
"Seiurus_aurocapilla",2006,646,185.062833333333,3.3310760999342
"Seiurus_aurocapilla",2006,649,187.950833333333,3.8748227934753
"Seiurus_aurocapilla",2007,535,203.134166666667,8.96012722857294
"Seiurus_aurocapilla",2007,564,200.206333333333,6.14277750762147
"Seiurus_aurocapilla",2007,646,190.036666666667,7.12858974043979
"Seiurus_aurocapilla",2007,649,193.175333333333,6.15065551921974
"Seiurus_aurocapilla",2007,675,177.217333333333,8.64354584085756
"Seiurus_aurocapilla",2007,676,192.09,8.53965578659306
"Seiurus_aurocapilla",2008,535,197.307833333333,8.39820379267969
"Seiurus_aurocapilla",2008,622,195.537,5.05419513685548
"Seiurus_aurocapilla",2008,646,190.448333333333,4.52508673477262
"Seiurus_aurocapilla",2008,649,187.6015,3.73591005253786
"Seiurus_aurocapilla",2008,675,189.334666666667,7.13581237084614
"Seiurus_aurocapilla",2008,676,189.912166666667,5.19605155839719
"Seiurus_aurocapilla",2009,649,195.216166666667,4.07826074129662
"Seiurus_aurocapilla",2009,676,184.963166666667,5.46758255984584
"Seiurus_aurocapilla",2010,595,168.7385,5.00416073757108
"Seiurus_aurocapilla",2010,621,188.023666666667,6.86988397086766
"Seiurus_aurocapilla",2010,649,186.077833333333,6.90488147643314
"Seiurus_aurocapilla",2010,676,183.3815,5.86702889783361
"Seiurus_aurocapilla",2011,622,195.865,5.57257725559233
"Seiurus_aurocapilla",2011,646,193.150166666667,4.34216831892092
"Seiurus_aurocapilla",2011,649,183.929,9.08886096084621
"Seiurus_aurocapilla",2012,535,194.999166666667,7.58110006212253
"Seiurus_aurocapilla",2012,567,193.580333333333,6.87900913528512
"Seiurus_aurocapilla",2012,622,203.011,4.91632390173638
"Seiurus_aurocapilla",2012,646,179.9185,2.05163982080816
"Seiurus_aurocapilla",2012,649,198.052833333333,8.04616878463952
"Seiurus_aurocapilla",2013,535,202.084,3.56745452509649
"Seiurus_aurocapilla",2013,646,191.770333333333,2.1408760934012
"Seiurus_aurocapilla",2013,649,195.311833333333,7.90276337220353
"Seiurus_aurocapilla",2014,646,182.610333333333,2.1687808765842
"Seiurus_aurocapilla",2015,535,206.322333333333,2.87184188309915
"Seiurus_aurocapilla",2015,649,187.0875,9.59964596311254
"Seiurus_aurocapilla",2015,676,183.932,9.7641145180735
"Seiurus_aurocapilla",2016,649,197.986166666667,6.5214822134695
"Setophaga_citrina",1992,622,202.880333333333,7.20506757234165
"Setophaga_citrina",1993,676,192.671833333333,4.68747999643821
"Setophaga_citrina",1994,676,193.055333333333,3.65679735789507
"Setophaga_citrina",1995,676,196.072666666667,3.63770876281523
"Setophaga_citrina",1996,676,193.540166666667,5.87243284764903
"Setophaga_citrina",1996,703,189.6725,6.55037365212833
"Setophaga_citrina",1997,676,206.030666666667,3.22068134928224
"Setophaga_citrina",1998,676,198.278833333333,5.49209545537682
"Setophaga_citrina",1999,622,203.418166666667,5.50957008600892
