"jd_wk","year","lat_bin","lon_bin","day_count"
28,2017,29,-83,1
28,2017,29,-81,3
28,2017,31,-99,5
28,2017,31,-97,53
28,2017,31,-95,2
28,2017,31,-91,1
28,2017,31,79,1
28,2017,33,-119,3
28,2017,33,-117,9
28,2017,33,-115,1
28,2017,33,-111,3
28,2017,33,-99,1
28,2017,33,-97,8
28,2017,33,-95,1
28,2017,35,-119,14
28,2017,35,-93,1
28,2017,35,-85,1
28,2017,37,-123,10
28,2017,37,-121,2
28,2017,39,-123,2
28,2017,39,-121,3
28,2017,41,-123,2
28,2017,47,-111,1
28,2018,-43,173,1
28,2018,-41,175,2
28,2018,-39,145,1
28,2018,-37,145,1
28,2018,-37,147,1
28,2018,-37,149,2
28,2018,-37,175,1
28,2018,-33,23,1
28,2018,-33,25,4
28,2018,-33,27,1
28,2018,-31,31,3
28,2018,-29,33,1
28,2018,-29,153,2
28,2018,-17,-63,1
28,2018,-7,39,1
28,2018,-1,-79,3
28,2018,-1,31,1
28,2018,1,103,7
28,2018,5,-73,1
28,2018,7,-75,1
28,2018,9,-85,1
28,2018,9,-83,3
28,2018,11,-85,1
28,2018,13,-87,5
28,2018,15,-97,5
28,2018,15,-93,1
28,2018,15,-91,19
28,2018,17,-97,2
28,2018,17,-93,2
28,2018,17,-89,1
28,2018,17,-67,3
28,2018,19,-103,1
28,2018,19,-101,5
28,2018,19,-99,6
28,2018,19,-97,6
28,2018,19,-75,2
28,2018,19,-71,1
28,2018,19,-67,1
28,2018,19,99,1
28,2018,19,109,2
28,2018,21,-105,11
28,2018,21,-101,4
28,2018,21,-97,1
28,2018,21,-87,9
28,2018,23,-107,2
28,2018,23,-105,3
28,2018,23,-79,5
28,2018,23,115,1
28,2018,25,-101,3
28,2018,25,-99,1
28,2018,25,-97,2
28,2018,25,-81,5
28,2018,27,-101,1
28,2018,27,-99,1
28,2018,27,-97,6
28,2018,27,-83,1
28,2018,27,-81,34
28,2018,29,-111,1
28,2018,29,-97,1
28,2018,29,-95,1
28,2018,29,-83,5
28,2018,29,-81,12
28,2018,29,-17,1
28,2018,31,-113,2
28,2018,31,-99,1
28,2018,31,-97,7
28,2018,31,-93,1
28,2018,33,-119,12
28,2018,33,-117,9
28,2018,33,-115,1
28,2018,33,-111,5
28,2018,33,-99,1
28,2018,33,-97,2
28,2018,33,35,1
28,2018,35,-121,1
28,2018,35,-119,43
28,2018,35,-117,1
28,2018,35,-115,1
28,2018,35,-107,1
28,2018,35,-83,3
28,2018,37,-123,53
28,2018,37,-121,13
28,2018,37,-119,1
28,2018,37,-115,1
28,2018,39,-123,22
28,2018,39,-121,6
28,2018,39,-9,1
35,2015,-41,175,2
35,2015,-39,175,1
35,2015,-31,31,2
35,2015,9,-83,1
35,2015,9,-81,1
35,2015,17,-93,2
35,2015,19,-101,1
35,2015,19,-99,21
35,2015,19,-97,2
35,2015,19,-95,1
35,2015,19,-71,1
35,2015,21,-105,26
35,2015,21,-103,1
