"taxon.name","class"
"Glossodoris buko","Gastropoda"
"Lybia tessellata","Malacostraca"
"Pseudanthias huchtii","Actinopterygii"
"Pseudanthias squamipinnis","Actinopterygii"
"Halicampus macrorhynchus","Actinopterygii"
"Cirrhitichthys aprinus","Actinopterygii"
"Eurypegasus draconis","Actinopterygii"
"Lissocarcinus laevis","Malacostraca"
"Quadrella coronata",NA
"Antennarius maculatus","Actinopterygii"
"Pleurosicya mossambica","Actinopterygii"
"Hippocampus histrix","Actinopterygii"
"Diademichthys lineatus","Actinopterygii"
"Samla bilas","Gastropoda"
"Antennarius striatus","Actinopterygii"
"Jorunna parva","Gastropoda"
"Allogalathea elegans","Malacostraca"
"Zenopontonia rex","Malacostraca"
"Iniistius pavo","Actinopterygii"
"Ancylomenes magnificus","Malacostraca"
"Nembrotha yonowae",NA
"Goniobranchus preciosus","Gastropoda"
"Antennarius commerson","Actinopterygii"
"Unidentia sandramillenae","Gastropoda"
"Phyllognathia ceratophthalma","Malacostraca"
"Coryphellina exoptata","Gastropoda"
"Lamprotornis purpuroptera","Aves"
"Struthio camelus","Aves"
"Enyaliopsis transvaalensis","Insecta"
"Caedicia simplex","Insecta"
"Eriophora pustulosa","Arachnida"
"Dicrurus forficatus","Aves"
"Pteropus conspicillatus","Mammalia"
"Brachythemis leucosticta","Insecta"
"Hydroprogne caspia","Aves"
"Gerronema waikanaensis","Agaricomycetes"
"Leucostrophus alterhirundo","Insecta"
"Trachylepis acutilabris","Reptilia"
"Crithagra mozambica","Aves"
"Motacilla aguimp","Aves"
"Passer griseus","Aves"
"Columba guinea","Aves"
"Pycnonotus barbatus","Aves"
"Thereianthus bracteolatus","Liliopsida"
"Disa atricapilla","Liliopsida"
"Corymbium enerve","Magnoliopsida"
"Tchagra senegalus","Aves"
"Crithagra striolata","Aves"
"Leucospermum oleifolium","Magnoliopsida"
"Lachnaea densiflora","Magnoliopsida"
"Valanga meleager",NA
"Asota plagiata","Insecta"
"Tapinoma melanocephalum","Insecta"
"Melanitis leda","Insecta"
"Acraea terpsicore","Insecta"
"Geotria australis","Cephalaspidomorphi"
"Rhoptropus barnardi","Reptilia"
"Menodora africana",NA
"Gladiolus oatesii","Liliopsida"
"Bulbine angustifolia","Liliopsida"
"Thunbergia atriplicifolia","Magnoliopsida"
"Duranta erecta","Magnoliopsida"
"Psiadia punctulata","Magnoliopsida"
"Cyphostemma oleraceum","Magnoliopsida"
"Deudorix antalus","Insecta"
"Charybdis smithii",NA
"Pedioplanis namaquensis","Reptilia"
"Micranthus alopecuroides","Liliopsida"
"Lobelia comosa","Magnoliopsida"
"Orphium frutescens","Magnoliopsida"
"Erica brachialis","Magnoliopsida"
"Erica barbigeroides","Magnoliopsida"
"Stoebe cyathuloides","Magnoliopsida"
"Erica labialis","Magnoliopsida"
"Pedioplanis lineoocellata","Reptilia"
"Novaculichthys taeniourus","Actinopterygii"
"Scarus schlegeli","Actinopterygii"
"Anampses neoguinaicus","Actinopterygii"
"Ancylocaris brevicarpalis","Malacostraca"
"Lysiosquilloides mapia","Malacostraca"
"Cirrhitichthys oxycephalus","Actinopterygii"
"Afrocarpus falcatus","Pinopsida"
"Foudia madagascariensis","Aves"
"Xerochrysum bracteatum","Magnoliopsida"
"Ocyphaps lophotes","Aves"
"Coccinella transversalis","Insecta"
"Euproctis haemodetes",NA
"Trithemis arteriosa","Insecta"
"Steganocerus multipunctatus","Insecta"
"Trithemis stictica","Insecta"
"Locris arithmetica","Insecta"
"Barnardius zonarius","Aves"
"Neorrhina punctatum","Insecta"
"Panaeolus papilionaceus","Agaricomycetes"
"Bradypodion damaranum","Reptilia"
"Angraecum expansum","Liliopsida"
"Maiazoon orsaki",NA
"Henosepilachna vigintioctopunctata","Insecta"
"Bradypterus baboecala","Aves"
"Muscicapa adusta","Aves"
"Coccopygia melanotis","Aves"
"Euplectes capensis","Aves"
"Aplysia extraordinaria","Gastropoda"
"Threskiornis molucca","Aves"
"Ceuthmochares australis",NA
"Mycalesis horsfieldi","Insecta"
"Atractomorpha australis","Insecta"
"Xanthogaleruca luteola","Insecta"
"Hemiergis quadrilineata","Reptilia"
"Vincentia conspersa","Actinopterygii"
"Verconia verconis","Gastropoda"
"Trygonorrhina dumerilii","Elasmobranchii"
"Trygonoptera imitata","Elasmobranchii"
"Trinorfolkia clarkei","Actinopterygii"
"Tosia australis","Asteroidea"
"Tilodon sexfasciatus","Actinopterygii"
"Tetractenos glaber","Actinopterygii"
