"user.login","all_obs","shannonH","shannonE"
"abbygeist",5,0.500402423538188,0.155458753541286
"abbyguillemette",15,1.48975031885059,0.462816958436596
"abbyhacker",1,0,0
"abbyhackney",1,0,0
"abbyhenderson",3,0.636514168294813,0.197744244551862
"abbyhikergirl2000",4,0.562335144618808,0.174699235141149
"abbyhostetler",2,0,0
"abbyhudson",1,0,0
"abbyhutcheson",2,0.693147180559945,0.215338279036697
"abbyinangola",1,0,0
"abbyjaned",1,0,0
"abbyjecks",2,0,0
"abbyjnssn",4,1.03972077083992,0.323007418555045
"abbyjorsey",2,0,0
"abbylinam",11,1.64173471218752,0.510033564980638
"abbylolno",1,0,0
"abbylourenco",4,1.03972077083992,0.323007418555045
"abbymckinney",1,0,0
"abbymullen",1,0,0
"abbyn0rmal",1,0,0
"abbynealous",2,0,0
"abbyoco",7,0,0
"abbyotter",9,1.27302833658963,0.395488489103723
"abbyotto03",1,0,0
"abbypotts",19,1.26486674903411,0.39295294936887
"abbyramirez",2,0.693147180559945,0.215338279036697
"abbyrauls",4,1.03972077083992,0.323007418555045
"abbyreg",5,1.6094379124341,0.5
"abbyreuschel",1,0,0
"abbyschlickenmayer",9,0.848685557726417,0.263658992735816
"abbyschneider",1,0,0
"abbysees",6,1.242453324894,0.385989827658193
"abbyshaww",1,0,0
"abbysherrill",1,0,0
"abbysmith99",1,0,0
"abbyspanggaard",14,1.37605528526042,0.427495610308845
"abbystew",1,0,0
"abbyt",4,0.562335144618808,0.174699235141149
"abbyt25",7,1.15374194270109,0.358430087233431
"abbytherockstar",1,0,0
"abbyusm",1,0,0
"abbyverret",10,1.27985422583367,0.397609070827102
"abbyvincent",7,0.410116318288409,0.127409797892779
"abbywilcox",4,1.03972077083992,0.323007418555045
"abbyyoungblood",1,0,0
"abbyzmama",1,0,0
"abbzgrl",2,0,0
"abc213",7,0,0
"abc3",5,1.05492016798614,0.327729376770643
"abcbbong",7,0.796311640173813,0.247388120418227
"abcdefgewing",51,0.723992668742925,0.224920968727512
"abcdfamily",11,1.59416669911802,0.495255730836803
"abcglc",2,0.693147180559945,0.215338279036697
"abconteh",2,0,0
"abcrosby",2,0,0
"abdallah_m_001",2,0,0
"abdallaibrahim",1,0,0
"abdant",1,0,0
"abdavid",51,1.38163744607472,0.429229806070973
"abdelemiliano",2,0.693147180559945,0.215338279036697
"abdelkawi_a_01",2,0.693147180559945,0.215338279036697
"abdellahbouazza",1,0,0
"abdelm",1,0,0
"abdelmajid_f_008",1,0,0
"abdelrahman15",2,0.693147180559945,0.215338279036697
"abdenagorodriguez",1,0,0
"abdgofar",1,0,0
"abdhsc23",1,0,0
"abdi2401",1,0,0
"abdiaziz",1,0,0
"abdielbadia",1,0,0
"abdilahisamiya171",6,1.56071040904141,0.484861949934124
"abdkzc",1,0,0
"abdulbiku",4,1.03972077083992,0.323007418555045
"abdulkhizriev",1,0,0
"abdulla3",1,0,0
"abdullah-ah",4,0.562335144618808,0.174699235141149
"abdullah_nazar",2,0.693147180559945,0.215338279036697
"abdullah7",1,0,0
"abdullahalanzi",1,0,0
"abdullahshabarek",4,1.03972077083992,0.323007418555045
"abdullahshaikh",1,0,0
"abdullahwaja",3,1.09861228866811,0.341303097242993
"abdullateefismail",3,0.636514168294813,0.197744244551862
"abdulmajidalyafei",2,0.693147180559945,0.215338279036697
"abduln",2,0,0
"abdulrahimhamid",2,0.693147180559945,0.215338279036697
"abdulrahmanatoum",23,1.53464321279448,0.476763720097005
"abdulsyed",1,0,0
"abdusalam1napls",1,0,0
"abe",6,0.450561208866305,0.139974709613022
"abe_albrecht",1,0,0
"abe_alejandro",2,0.693147180559945,0.215338279036697
"abe9",1,0,0
"abear",2,0.693147180559945,0.215338279036697
"abeatty17",2,0.693147180559945,0.215338279036697
"abeaullieu",6,1.242453324894,0.385989827658193
"abeborker",18,1.16487291190137,0.361888117243251
"abeck365",174,1.65067717474115,0.512811697173419
"abecker",4,1.38629436111989,0.430676558073393
"abedf906",1,0,0
"abedholme",1,0,0
"abedsaab",1,0,0
"abedsaber",1,0,0
"abeeman",4,1.03972077083992,0.323007418555045
"abehommet",1,0,0
"abel_c_007",1,0,0
"abel32",1,0,0
"abel37",2,0.693147180559945,0.215338279036697
"abel9",4,1.38629436111989,0.430676558073393
"abelaipats",1,0,0
"abelanger",1,0,0
"abelardo8",1,0,0
"abeldtyson",5,0.950270539233235,0.295218141654204
"abeleiu",4,1.03972077083992,0.323007418555045
"abelf",2,0,0
"abelharris",3,0.636514168294813,0.197744244551862
"abelhernandezv",2,0.693147180559945,0.215338279036697
"abellann",1,0,0
"abellumberjack",1,0,0
"abelthamby",1,0,0
"abelvazquez",1,0,0
"abemondez",4,1.03972077083992,0.323007418555045
"abenantoso",1,0,0
"abenasackeyojetayo",1,0,0
"abendall",1,0,0
"abenedik",1,0,0
"abenge2",2,0,0
"abenn",1,0,0
"abenne03",51,1.54961171646956,0.481413947222712
"abennett123567",12,1.7045514452673,0.529548680349324
"abennettmargrave",1,0,0
"abentonh",1,0,0
"aber1320",3,0.636514168294813,0.197744244551862
